action,cycle_id,link_id,link_mbps,link_monitor,link_usage_norm,rx_mbps,rx_pps,timestamp,tx_mbps,tx_pps
route_mutation,20260622T204132_015948,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,2.16,2026-06-22T20:41:32,0.002,2.16
route_mutation,20260622T204132_015948,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:41:32,0.002,1.73
route_mutation,20260622T204132_015948,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.26,2026-06-22T20:41:32,0.002,2.26
route_mutation,20260622T204132_015948,of:0000000000000001:2 -> of:000000000000000c:1,0.003,0.00375,0.003,0.003,3.3,2026-06-22T20:41:32,0.003,3.23
route_mutation,20260622T204132_015948,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.76,2026-06-22T20:41:32,0.002,1.8
route_mutation,20260622T204132_015948,of:0000000000000001:3 -> of:000000000000000d:1,0.003,0.00375,0.003,0.003,3.06,2026-06-22T20:41:32,0.003,3.13
route_mutation,20260622T204132_015948,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.1,2026-06-22T20:41:32,0.002,2.1
route_mutation,20260622T204132_015948,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,2.8,2026-06-22T20:41:32,0.002,2.86
route_mutation,20260622T204132_015948,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,2.03,2026-06-22T20:41:32,0.002,2.0
route_mutation,20260622T204132_015948,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.13,2026-06-22T20:41:32,0.002,2.13
route_mutation,20260622T204132_015948,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.16,2026-06-22T20:41:32,0.002,2.16
route_mutation,20260622T204132_015948,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.16,2026-06-22T20:41:32,0.002,2.16
route_mutation,20260622T204132_015948,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.73,2026-06-22T20:41:32,0.002,1.73
route_mutation,20260622T204132_015948,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.73,2026-06-22T20:41:32,0.002,1.73
route_mutation,20260622T204132_015948,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.76,2026-06-22T20:41:32,0.002,1.8
route_mutation,20260622T204132_015948,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,2.16,2026-06-22T20:41:32,0.002,2.16
ip_shuffle,20260622T204202_348544,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:42:02,0.001,1.5
ip_shuffle,20260622T204202_348544,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:42:02,0.001,1.5
ip_shuffle,20260622T204202_348544,of:000000000000000a:1 -> of:000000000000000d:6,0.001,0.00125,0.001,0.001,1.5,2026-06-22T20:42:02,0.001,1.46
ip_shuffle,20260622T204202_348544,of:000000000000000b:3 -> of:000000000000000d:2,0.001,0.00125,0.001,0.001,1.63,2026-06-22T20:42:02,0.001,1.63
ip_shuffle,20260622T204202_348544,of:000000000000000c:3 -> of:000000000000000d:3,0.001,0.00125,0.001,0.001,1.63,2026-06-22T20:42:02,0.001,1.63
ip_shuffle,20260622T204202_348544,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:42:02,0.002,1.83
ip_shuffle,20260622T204202_348544,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.001,1.5,2026-06-22T20:42:02,0.002,1.56
ip_shuffle,20260622T204202_348544,of:000000000000000b:2 -> of:000000000000000c:2,0.001,0.00125,0.001,0.001,1.66,2026-06-22T20:42:02,0.001,1.66
ip_shuffle,20260622T204202_348544,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.001,1.5,2026-06-22T20:42:02,0.002,1.56
ip_shuffle,20260622T204202_348544,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:42:02,0.001,1.5
ip_shuffle,20260622T204202_348544,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,2.53,2026-06-22T20:42:02,0.002,2.46
ip_shuffle,20260622T204202_348544,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:42:02,0.002,1.83
ip_shuffle,20260622T204202_348544,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:42:02,0.001,1.46
ip_shuffle,20260622T204202_348544,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,2.39,2026-06-22T20:42:02,0.002,2.43
ip_shuffle,20260622T204202_348544,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:42:02,0.002,1.8
ip_shuffle,20260622T204202_348544,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:42:02,0.002,1.83
ip_shuffle,20260622T204202_348544,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:42:02,0.002,1.83
ip_shuffle,20260622T204202_348544,of:0000000000000008:1 -> of:000000000000000b:6,0.001,0.00125,0.001,0.001,1.5,2026-06-22T20:42:02,0.001,1.5
ip_shuffle,20260622T204202_348544,of:0000000000000009:1 -> of:000000000000000c:6,0.001,0.00125,0.001,0.001,1.5,2026-06-22T20:42:02,0.001,1.5
ip_shuffle,20260622T204202_348544,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:42:02,0.001,1.5
ip_shuffle,20260622T204202_348544,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:42:02,0.002,1.83
route_mutation,20260622T204300_306979,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,2.3,2026-06-22T20:43:00,0.002,2.33
route_mutation,20260622T204300_306979,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,2.3,2026-06-22T20:43:00,0.002,2.33
route_mutation,20260622T204300_306979,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.6,2026-06-22T20:43:00,0.002,1.63
route_mutation,20260622T204300_306979,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,1.9,2026-06-22T20:43:00,0.002,1.9
route_mutation,20260622T204300_306979,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,1.9,2026-06-22T20:43:00,0.002,1.9
route_mutation,20260622T204300_306979,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,1.7,2026-06-22T20:43:00,0.002,1.7
route_mutation,20260622T204300_306979,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,2.43,2026-06-22T20:43:00,0.002,2.4
route_mutation,20260622T204300_306979,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:43:00,0.002,1.86
route_mutation,20260622T204300_306979,of:0000000000000001:2 -> of:000000000000000c:1,0.003,0.00375,0.003,0.003,3.2,2026-06-22T20:43:00,0.003,3.13
route_mutation,20260622T204300_306979,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,2.43,2026-06-22T20:43:00,0.002,2.43
route_mutation,20260622T204300_306979,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,2.16,2026-06-22T20:43:00,0.002,2.23
route_mutation,20260622T204300_306979,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,1.76,2026-06-22T20:43:00,0.002,1.76
route_mutation,20260622T204300_306979,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,2.23,2026-06-22T20:43:00,0.002,2.16
route_mutation,20260622T204300_306979,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:43:00,0.002,1.56
route_mutation,20260622T204300_306979,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,1.76,2026-06-22T20:43:00,0.002,1.76
route_mutation,20260622T204300_306979,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,1.76,2026-06-22T20:43:00,0.002,1.76
route_mutation,20260622T204300_306979,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,1.76,2026-06-22T20:43:00,0.002,1.76
route_mutation,20260622T204300_306979,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:43:00,0.002,1.53
route_mutation,20260622T204300_306979,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.53,2026-06-22T20:43:00,0.002,1.53
route_mutation,20260622T204300_306979,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.56,2026-06-22T20:43:00,0.002,1.6
route_mutation,20260622T204300_306979,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,1.7,2026-06-22T20:43:00,0.002,1.7
ip_shuffle,20260622T204331_053531,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:43:31,0.002,1.8
ip_shuffle,20260622T204331_053531,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:43:31,0.002,1.8
ip_shuffle,20260622T204331_053531,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.73,2026-06-22T20:43:31,0.002,1.7
ip_shuffle,20260622T204331_053531,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,2.23,2026-06-22T20:43:31,0.002,2.23
ip_shuffle,20260622T204331_053531,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,2.23,2026-06-22T20:43:31,0.002,2.23
ip_shuffle,20260622T204331_053531,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,2.43,2026-06-22T20:43:31,0.002,2.43
ip_shuffle,20260622T204331_053531,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:43:31,0.002,1.86
ip_shuffle,20260622T204331_053531,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.26,2026-06-22T20:43:31,0.002,2.26
ip_shuffle,20260622T204331_053531,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:43:31,0.002,1.86
ip_shuffle,20260622T204331_053531,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:43:31,0.002,1.8
ip_shuffle,20260622T204331_053531,of:0000000000000001:3 -> of:000000000000000d:1,0.003,0.00375,0.003,0.003,3.46,2026-06-22T20:43:31,0.003,3.39
ip_shuffle,20260622T204331_053531,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.36,2026-06-22T20:43:31,0.002,2.36
ip_shuffle,20260622T204331_053531,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,2.13,2026-06-22T20:43:31,0.002,2.2
ip_shuffle,20260622T204331_053531,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,2.99,2026-06-22T20:43:31,0.002,2.96
ip_shuffle,20260622T204331_053531,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.36,2026-06-22T20:43:31,0.002,2.36
ip_shuffle,20260622T204331_053531,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.43,2026-06-22T20:43:31,0.002,2.43
ip_shuffle,20260622T204331_053531,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.43,2026-06-22T20:43:31,0.002,2.43
ip_shuffle,20260622T204331_053531,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:43:31,0.002,1.8
ip_shuffle,20260622T204331_053531,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:43:31,0.002,1.8
ip_shuffle,20260622T204331_053531,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:43:31,0.002,1.8
ip_shuffle,20260622T204331_053531,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,2.43,2026-06-22T20:43:31,0.002,2.43
route_mutation,20260622T204429_092387,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,2.33,2026-06-22T20:44:29,0.002,2.36
route_mutation,20260622T204429_092387,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,2.33,2026-06-22T20:44:29,0.002,2.36
route_mutation,20260622T204429_092387,of:000000000000000a:1 -> of:000000000000000d:6,0.001,0.00125,0.001,0.001,1.5,2026-06-22T20:44:29,0.001,1.5
route_mutation,20260622T204429_092387,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,1.73,2026-06-22T20:44:29,0.002,1.73
route_mutation,20260622T204429_092387,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:44:29,0.002,1.8
route_mutation,20260622T204429_092387,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,1.7,2026-06-22T20:44:29,0.002,1.7
route_mutation,20260622T204429_092387,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,2.6,2026-06-22T20:44:29,0.002,2.56
route_mutation,20260622T204429_092387,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,1.73,2026-06-22T20:44:29,0.002,1.73
route_mutation,20260622T204429_092387,of:0000000000000001:2 -> of:000000000000000c:1,0.003,0.00375,0.003,0.003,3.16,2026-06-22T20:44:29,0.003,3.13
route_mutation,20260622T204429_092387,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,2.46,2026-06-22T20:44:29,0.002,2.5
route_mutation,20260622T204429_092387,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,2.03,2026-06-22T20:44:29,0.002,2.06
route_mutation,20260622T204429_092387,of:0000000000000006:2 -> of:000000000000000a:2,0.001,0.00125,0.001,0.001,1.63,2026-06-22T20:44:29,0.001,1.63
route_mutation,20260622T204429_092387,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,2.03,2026-06-22T20:44:29,0.002,2.03
route_mutation,20260622T204429_092387,of:0000000000000007:1 -> of:000000000000000d:5,0.001,0.00125,0.001,0.001,1.46,2026-06-22T20:44:29,0.001,1.5
route_mutation,20260622T204429_092387,of:0000000000000007:2 -> of:000000000000000a:3,0.001,0.00125,0.001,0.001,1.63,2026-06-22T20:44:29,0.001,1.63
route_mutation,20260622T204429_092387,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,1.66,2026-06-22T20:44:29,0.002,1.66
route_mutation,20260622T204429_092387,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,1.66,2026-06-22T20:44:29,0.002,1.66
route_mutation,20260622T204429_092387,of:0000000000000008:1 -> of:000000000000000b:6,0.001,0.00125,0.001,0.001,1.4,2026-06-22T20:44:29,0.001,1.43
route_mutation,20260622T204429_092387,of:0000000000000009:1 -> of:000000000000000c:6,0.001,0.00125,0.001,0.001,1.5,2026-06-22T20:44:29,0.001,1.5
route_mutation,20260622T204429_092387,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.56,2026-06-22T20:44:29,0.002,1.6
route_mutation,20260622T204429_092387,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,1.7,2026-06-22T20:44:29,0.002,1.7
ip_shuffle,20260622T204459_373751,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:44:59,0.002,1.83
ip_shuffle,20260622T204459_373751,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:44:59,0.002,1.83
ip_shuffle,20260622T204459_373751,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:44:59,0.002,1.83
ip_shuffle,20260622T204459_373751,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,2.4,2026-06-22T20:44:59,0.002,2.4
ip_shuffle,20260622T204459_373751,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,2.33,2026-06-22T20:44:59,0.002,2.33
ip_shuffle,20260622T204459_373751,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,2.5,2026-06-22T20:44:59,0.002,2.5
ip_shuffle,20260622T204459_373751,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.9,2026-06-22T20:44:59,0.002,1.93
ip_shuffle,20260622T204459_373751,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.4,2026-06-22T20:44:59,0.002,2.4
ip_shuffle,20260622T204459_373751,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:44:59,0.002,1.86
ip_shuffle,20260622T204459_373751,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.93,2026-06-22T20:44:59,0.002,1.9
ip_shuffle,20260622T204459_373751,of:0000000000000001:3 -> of:000000000000000d:1,0.003,0.00375,0.003,0.003,3.66,2026-06-22T20:44:59,0.003,3.63
ip_shuffle,20260622T204459_373751,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.5,2026-06-22T20:44:59,0.002,2.5
ip_shuffle,20260622T204459_373751,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,2.4,2026-06-22T20:44:59,0.002,2.4
ip_shuffle,20260622T204459_373751,of:0000000000000007:1 -> of:000000000000000d:5,0.003,0.00375,0.003,0.003,3.06,2026-06-22T20:44:59,0.003,3.03
ip_shuffle,20260622T204459_373751,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.5,2026-06-22T20:44:59,0.002,2.5
ip_shuffle,20260622T204459_373751,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.53,2026-06-22T20:44:59,0.002,2.53
ip_shuffle,20260622T204459_373751,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.53,2026-06-22T20:44:59,0.002,2.53
ip_shuffle,20260622T204459_373751,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.93,2026-06-22T20:44:59,0.002,1.9
ip_shuffle,20260622T204459_373751,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:44:59,0.002,1.83
ip_shuffle,20260622T204459_373751,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.93,2026-06-22T20:44:59,0.002,1.9
ip_shuffle,20260622T204459_373751,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,2.5,2026-06-22T20:44:59,0.002,2.5
route_mutation,20260622T204603_519273,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,2.29,2026-06-22T20:46:03,0.002,2.33
route_mutation,20260622T204603_519273,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,2.29,2026-06-22T20:46:03,0.002,2.33
route_mutation,20260622T204603_519273,of:000000000000000a:1 -> of:000000000000000d:6,0.001,0.00125,0.001,0.001,1.46,2026-06-22T20:46:03,0.001,1.46
route_mutation,20260622T204603_519273,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,1.66,2026-06-22T20:46:03,0.002,1.66
route_mutation,20260622T204603_519273,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,1.73,2026-06-22T20:46:03,0.002,1.73
route_mutation,20260622T204603_519273,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,1.6,2026-06-22T20:46:03,0.002,1.6
route_mutation,20260622T204603_519273,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,2.66,2026-06-22T20:46:03,0.002,2.63
route_mutation,20260622T204603_519273,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,1.66,2026-06-22T20:46:03,0.002,1.66
route_mutation,20260622T204603_519273,of:0000000000000001:2 -> of:000000000000000c:1,0.003,0.00375,0.003,0.003,3.13,2026-06-22T20:46:03,0.003,3.06
route_mutation,20260622T204603_519273,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,2.36,2026-06-22T20:46:03,0.002,2.43
route_mutation,20260622T204603_519273,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:46:03,0.002,1.93
route_mutation,20260622T204603_519273,of:0000000000000006:2 -> of:000000000000000a:2,0.001,0.00125,0.001,0.001,1.56,2026-06-22T20:46:03,0.001,1.56
route_mutation,20260622T204603_519273,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,1.83,2026-06-22T20:46:03,0.002,1.8
route_mutation,20260622T204603_519273,of:0000000000000007:1 -> of:000000000000000d:5,0.001,0.00125,0.001,0.001,1.43,2026-06-22T20:46:03,0.001,1.46
route_mutation,20260622T204603_519273,of:0000000000000007:2 -> of:000000000000000a:3,0.001,0.00125,0.001,0.001,1.56,2026-06-22T20:46:03,0.001,1.56
route_mutation,20260622T204603_519273,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,1.56,2026-06-22T20:46:03,0.002,1.56
route_mutation,20260622T204603_519273,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,1.56,2026-06-22T20:46:03,0.002,1.56
route_mutation,20260622T204603_519273,of:0000000000000008:1 -> of:000000000000000b:6,0.001,0.00125,0.001,0.001,1.36,2026-06-22T20:46:03,0.001,1.4
route_mutation,20260622T204603_519273,of:0000000000000009:1 -> of:000000000000000c:6,0.001,0.00125,0.001,0.001,1.43,2026-06-22T20:46:03,0.001,1.46
route_mutation,20260622T204603_519273,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.63,2026-06-22T20:46:03,0.002,1.7
route_mutation,20260622T204603_519273,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,1.6,2026-06-22T20:46:03,0.002,1.6
ip_shuffle,20260622T204633_770982,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,1.9,2026-06-22T20:46:33,0.002,1.86
ip_shuffle,20260622T204633_770982,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,1.9,2026-06-22T20:46:33,0.002,1.86
ip_shuffle,20260622T204633_770982,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:46:33,0.002,1.86
ip_shuffle,20260622T204633_770982,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,2.46,2026-06-22T20:46:33,0.002,2.46
ip_shuffle,20260622T204633_770982,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,2.4,2026-06-22T20:46:33,0.002,2.4
ip_shuffle,20260622T204633_770982,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,2.6,2026-06-22T20:46:33,0.002,2.6
ip_shuffle,20260622T204633_770982,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.86,2026-06-22T20:46:33,0.002,1.93
ip_shuffle,20260622T204633_770982,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.46,2026-06-22T20:46:33,0.002,2.46
ip_shuffle,20260622T204633_770982,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,1.8,2026-06-22T20:46:33,0.002,1.86
ip_shuffle,20260622T204633_770982,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,2.0,2026-06-22T20:46:33,0.002,1.93
ip_shuffle,20260622T204633_770982,of:0000000000000001:3 -> of:000000000000000d:1,0.003,0.00375,0.003,0.003,3.9,2026-06-22T20:46:33,0.003,3.83
ip_shuffle,20260622T204633_770982,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.56,2026-06-22T20:46:33,0.002,2.56
ip_shuffle,20260622T204633_770982,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,2.66,2026-06-22T20:46:33,0.002,2.7
ip_shuffle,20260622T204633_770982,of:0000000000000007:1 -> of:000000000000000d:5,0.003,0.00375,0.003,0.003,3.1,2026-06-22T20:46:33,0.003,3.06
ip_shuffle,20260622T204633_770982,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.56,2026-06-22T20:46:33,0.002,2.56
ip_shuffle,20260622T204633_770982,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.63,2026-06-22T20:46:33,0.002,2.63
ip_shuffle,20260622T204633_770982,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.63,2026-06-22T20:46:33,0.002,2.63
ip_shuffle,20260622T204633_770982,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.96,2026-06-22T20:46:33,0.002,1.93
